2026-07-17 12:40:01 | INFO     | test | Logger is working!
2026-07-17 12:40:58 | INFO     | speech | Loading Whisper model 'base'...
2026-07-17 12:41:00 | INFO     | speech | Whisper model loaded.
2026-07-17 12:41:00 | INFO     | speech | Recording for 5s... speak now.
2026-07-17 12:41:06 | INFO     | speech | Recording finished.
2026-07-17 12:41:06 | INFO     | speech | record_audio took 5.55s
2026-07-17 12:41:06 | WARNING  | speech | Transcription returned empty text.
2026-07-17 12:41:06 | INFO     | speech | transcribe took 0.54s
2026-07-17 12:41:53 | INFO     | speech | Loading Whisper model 'base'...
2026-07-17 12:41:54 | INFO     | speech | Whisper model loaded.
2026-07-17 12:41:54 | INFO     | speech | Recording for 5s... speak now.
2026-07-17 12:41:59 | INFO     | speech | Recording finished.
2026-07-17 12:41:59 | INFO     | speech | record_audio took 5.49s
2026-07-17 12:42:00 | INFO     | speech | Transcription: 'I'm in Bali. Yeah, I am. Let's go.' (lang confidence: 1.00)
2026-07-17 12:42:00 | INFO     | speech | transcribe took 0.43s
2026-07-17 12:44:34 | INFO     | llm | Sending to Ollama (llama3.2:3b): 'Hello, who are you?'
2026-07-17 12:44:40 | INFO     | llm | Ollama response: 'I'm an AI designed to help answer questions, provide information, and have conversations with people like you. I don't have a personal name, but you can think of me as your friendly assistant, here to assist with anything you need! What's on your mind today?'
2026-07-17 12:44:40 | INFO     | llm | get_response took 5.88s
2026-07-17 12:46:45 | INFO     | tts | Loading Piper voice from C:\AI-Assistant\voices\en_US-lessac-medium.onnx...
2026-07-17 12:46:47 | INFO     | tts | Piper voice loaded.
2026-07-17 12:46:49 | INFO     | tts | synthesize took 2.42s
2026-07-17 12:46:53 | INFO     | tts | play_audio took 3.54s
2026-07-17 12:50:41 | WARNING  | fallback | slow_func timed out after 8s.
2026-07-17 12:50:48 | WARNING  | fallback | LLM timed out, using slow-filler fallback.
2026-07-17 12:50:50 | INFO     | fallback | No speech detected, using fallback phrase.
2026-07-17 12:53:19 | INFO     | speech | Loading Whisper model 'base'...
2026-07-17 12:53:20 | INFO     | speech | Whisper model loaded.
2026-07-17 12:53:20 | INFO     | tts | Loading Piper voice from C:\AI-Assistant\voices\en_US-lessac-medium.onnx...
2026-07-17 12:53:21 | INFO     | tts | Piper voice loaded.
2026-07-17 12:53:21 | INFO     | assistant | Assistant initialized.
2026-07-17 12:53:21 | INFO     | speech | Recording for 5s... speak now.
2026-07-17 12:53:27 | INFO     | speech | Recording finished.
2026-07-17 12:53:27 | INFO     | speech | record_audio took 5.42s
2026-07-17 12:53:27 | INFO     | speech | Transcription: 'Hello, what's your name?' (lang confidence: 1.00)
2026-07-17 12:53:27 | INFO     | speech | transcribe took 0.41s
2026-07-17 12:53:27 | INFO     | llm | Sending to Ollama (llama3.2:3b): 'Hello, what's your name?'
2026-07-17 12:53:31 | INFO     | llm | Ollama response: 'I'm not assigned a personal name, but you can think of me as "Assistant" or call me whatever feels most natural to you! What's on your mind today? Need help with something or just want to chat?'
2026-07-17 12:53:31 | INFO     | llm | get_response took 3.61s
2026-07-17 12:53:31 | INFO     | tts | synthesize took 0.38s
2026-07-17 12:53:42 | INFO     | tts | play_audio took 10.61s
2026-07-17 12:53:42 | INFO     | speech | Recording for 5s... speak now.
2026-07-17 12:53:48 | INFO     | speech | Recording finished.
2026-07-17 12:53:48 | INFO     | speech | record_audio took 5.80s
2026-07-17 12:53:48 | INFO     | speech | Transcription: 'Just want to chat. I want another weather of India.' (lang confidence: 1.00)
2026-07-17 12:53:48 | INFO     | speech | transcribe took 0.52s
2026-07-17 12:53:48 | INFO     | llm | Sending to Ollama (llama3.2:3b): 'Just want to chat. I want another weather of India.'
2026-07-17 12:53:50 | INFO     | llm | Ollama response: 'India's got some amazing weather patterns. You've got the tropical monsoon season in the south, with heavy rainfall and high humidity. The north gets quite cool during winters, especially after December, while the Himalayas can be chilly even in summer.

In the middle, you have a mix of warm and mild climates, like Delhi and Rajasthan. And let's not forget about Kerala's tropical forests, where it stays pretty warm and humid all year round.

What part of India are you most interested in?'
2026-07-17 12:53:50 | INFO     | llm | get_response took 1.95s
2026-07-17 12:53:51 | INFO     | tts | synthesize took 0.78s
2026-07-17 12:54:17 | INFO     | tts | play_audio took 26.42s
2026-07-17 12:54:17 | INFO     | speech | Recording for 5s... speak now.
2026-07-17 12:54:23 | INFO     | speech | Recording finished.
2026-07-17 12:54:23 | INFO     | speech | record_audio took 6.02s
2026-07-17 12:54:24 | INFO     | speech | Transcription: 'Well Lord Tamil Nadu' (lang confidence: 1.00)
2026-07-17 12:54:24 | INFO     | speech | transcribe took 0.45s
2026-07-17 12:54:24 | INFO     | llm | Sending to Ollama (llama3.2:3b): 'Well Lord Tamil Nadu'
2026-07-17 12:54:25 | INFO     | llm | Ollama response: 'A classic Indian phrase! It roughly translates to "Great is the land of Tamil Nadu." Is there something specific you'd like to know about this beautiful state in southern India?'
2026-07-17 12:54:25 | INFO     | llm | get_response took 1.19s
2026-07-17 12:54:25 | INFO     | tts | synthesize took 0.27s
2026-07-17 12:54:35 | INFO     | tts | play_audio took 9.79s
2026-07-17 12:54:35 | INFO     | speech | Recording for 5s... speak now.
2026-07-17 12:54:41 | INFO     | speech | Recording finished.
2026-07-17 12:54:41 | INFO     | speech | record_audio took 5.55s
2026-07-17 12:54:41 | INFO     | speech | Transcription: 'I want to know about the weather in Valor Tamil Nadu.' (lang confidence: 1.00)
2026-07-17 12:54:41 | INFO     | speech | transcribe took 0.45s
2026-07-17 12:54:41 | INFO     | llm | Sending to Ollama (llama3.2:3b): 'I want to know about the weather in Valor Tamil Nadu.'
2026-07-17 12:54:43 | INFO     | llm | Ollama response: 'Valorn is actually in Tamil Nadu, India. The weather there varies depending on the time of year.

Generally, Valorn has a tropical climate with three main seasons: summer, monsoon, and winter.

Summer's usually hot and humid from April to June.
The monsoon season brings heavy rainfall from July to September.
Winter's mild from December to February, but can get cool at night.

For the most up-to-date forecast, I recommend checking a reliable weather website or app. Would you like me to find one for you?'
2026-07-17 12:54:43 | INFO     | llm | get_response took 1.93s
2026-07-17 12:54:44 | INFO     | tts | synthesize took 0.82s
2026-07-17 12:55:13 | INFO     | tts | play_audio took 28.93s
2026-07-17 12:55:13 | INFO     | speech | Recording for 5s... speak now.
2026-07-17 12:55:18 | INFO     | speech | Recording finished.
2026-07-17 12:55:18 | INFO     | speech | record_audio took 5.53s
2026-07-17 12:55:19 | INFO     | speech | Transcription: 'No it's fine, I was talking about Velur, Velur, VIT Velur' (lang confidence: 1.00)
2026-07-17 12:55:19 | INFO     | speech | transcribe took 0.47s
2026-07-17 12:55:19 | INFO     | llm | Sending to Ollama (llama3.2:3b): 'No it's fine, I was talking about Velur, Velur, VIT Velur'
2026-07-17 12:55:20 | INFO     | llm | Ollama response: 'So you're referring to the Velur Institute of Technology in Tamil Nadu, India. What would you like to know about VIT Velur? Are you a student or looking for information on their courses or admission process?'
2026-07-17 12:55:20 | INFO     | llm | get_response took 1.33s
2026-07-17 12:55:20 | INFO     | tts | synthesize took 0.35s
2026-07-17 12:55:32 | INFO     | tts | play_audio took 11.88s
2026-07-17 12:55:32 | INFO     | speech | Recording for 5s... speak now.
2026-07-17 12:55:38 | INFO     | speech | Recording finished.
2026-07-17 12:55:38 | INFO     | speech | record_audio took 5.51s
2026-07-17 12:55:38 | INFO     | speech | Transcription: 'I am a student at VIT Vailor, I just don't want to know.' (lang confidence: 1.00)
2026-07-17 12:55:38 | INFO     | speech | transcribe took 0.46s
2026-07-17 12:55:38 | INFO     | llm | Sending to Ollama (llama3.2:3b): 'I am a student at VIT Vailor, I just don't want to know.'
2026-07-17 12:55:40 | INFO     | llm | Ollama response: 'It sounds like you're feeling overwhelmed or stuck with your studies right now. Would you like to talk about what's going on and see if we can brainstorm some ways to make things more manageable? Maybe we can break down your tasks into smaller chunks or explore any resources available at VIT Vailor that could help.'
2026-07-17 12:55:40 | INFO     | llm | get_response took 1.44s
2026-07-17 12:55:40 | INFO     | tts | synthesize took 0.48s
2026-07-17 12:55:57 | INFO     | tts | play_audio took 17.35s
2026-07-17 12:55:57 | INFO     | speech | Recording for 5s... speak now.
2026-07-17 12:56:03 | INFO     | speech | Recording finished.
2026-07-17 12:56:03 | INFO     | speech | record_audio took 5.91s
2026-07-17 12:56:04 | INFO     | speech | Transcription: 'Thank you so much.' (lang confidence: 1.00)
2026-07-17 12:56:04 | INFO     | speech | transcribe took 0.42s
2026-07-17 12:56:04 | INFO     | llm | Sending to Ollama (llama3.2:3b): 'Thank you so much.'
2026-07-17 12:56:05 | INFO     | llm | Ollama response: 'It's my pleasure to help. Is there something specific I can assist you with today?'
2026-07-17 12:56:05 | INFO     | llm | get_response took 0.92s
2026-07-17 12:56:05 | INFO     | tts | synthesize took 0.14s
2026-07-17 12:56:09 | INFO     | tts | play_audio took 4.60s
2026-07-17 12:56:09 | INFO     | speech | Recording for 5s... speak now.
2026-07-17 12:56:15 | INFO     | speech | Recording finished.
2026-07-17 12:56:15 | INFO     | speech | record_audio took 5.89s
2026-07-17 12:56:16 | INFO     | speech | Transcription: 'Nothing really.' (lang confidence: 1.00)
2026-07-17 12:56:16 | INFO     | speech | transcribe took 0.39s
2026-07-17 12:56:16 | INFO     | llm | Sending to Ollama (llama3.2:3b): 'Nothing really.'
2026-07-17 12:56:17 | INFO     | llm | Ollama response: 'Just looking for something to do then? We could play a game, have a chat about your day, or I could suggest some fun activities if you're feeling stuck. What sounds good to you?'
2026-07-17 12:56:17 | INFO     | llm | get_response took 1.23s
2026-07-17 12:56:17 | INFO     | tts | synthesize took 0.27s
2026-07-17 12:56:27 | INFO     | tts | play_audio took 9.85s
2026-07-17 12:56:27 | INFO     | speech | Recording for 5s... speak now.
2026-07-17 12:56:33 | INFO     | speech | Recording finished.
2026-07-17 12:56:33 | INFO     | speech | record_audio took 5.85s
2026-07-17 12:56:33 | INFO     | speech | Transcription: 'I don't want to do anything by.' (lang confidence: 1.00)
2026-07-17 12:56:33 | INFO     | speech | transcribe took 0.41s
2026-07-17 12:56:33 | INFO     | llm | Sending to Ollama (llama3.2:3b): 'I don't want to do anything by.'
2026-07-17 12:56:35 | INFO     | llm | Ollama response: 'It can be tough to get started when you're feeling relaxed at home. Why not try making something simple like a cup of tea or toast? Sometimes getting into the kitchen can help you feel more energized and focused. Or, if you're feeling really unmotivated, we could just chat about your day instead! What's been going on that's got you feeling laid back today?'
2026-07-17 12:56:35 | INFO     | llm | get_response took 1.61s
2026-07-17 12:56:36 | INFO     | tts | synthesize took 0.57s
